date,ad_id,campaign,fb_campaign_id,age,gender,interest,Impressions,Clicks,Spent,Total_Conversion,Approved_Conversion
2021-01-01,708746,Campaign A,103916,30-34,Male,15,7350,1,1.429999948,2,1
2021-01-02,708749,Campaign A,103917,30-34,Male,16,17861,2,1.820000023,2,0
2021-01-03,708771,Campaign A,103920,30-34,Male,20,693,0,0,1,0
2021-01-04,708815,Campaign A,103928,30-34,Male,28,4259,1,1.25,1,0
2021-01-05,708818,Campaign A,103928,30-34,Male,28,4133,1,1.289999962,1,1
2021-01-06,708820,Campaign A,103929,30-34,Male,29,1915,0,0,1,1
2021-01-07,708889,Campaign A,103940,30-34,Male,15,15615,3,4.769999981,1,0
2021-01-08,708895,Campaign A,103941,30-34,Male,16,10951,1,1.269999981,1,1
2021-01-09,708953,Campaign A,103951,30-34,Male,27,2355,1,1.5,1,0
2021-01-10,708958,Campaign A,103952,30-34,Male,28,9502,3,3.159999967,1,0
2021-01-11,708979,Campaign A,103955,30-34,Male,31,1224,0,0,1,0
2021-01-12,709023,Campaign A,103962,30-34,Male,7,735,0,0,1,0
2021-01-13,709038,Campaign A,103965,30-34,Male,16,5117,0,0,1,0
2021-01-14,709040,Campaign A,103965,30-34,Male,16,5120,0,0,1,0
2021-01-15,709059,Campaign A,103968,30-34,Male,20,14669,7,10.28000021,1,1
2021-01-16,709105,Campaign A,103976,30-34,Male,28,1241,0,0,1,1
2021-01-17,709115,Campaign A,103978,30-34,Male,30,2305,1,0.569999993,1,0
2021-01-18,709124,Campaign A,103979,30-34,Male,31,1024,0,0,1,1
2021-01-19,709179,Campaign A,103988,35-39,Male,15,4627,1,1.690000057,1,0
2021-01-20,709183,Campaign A,103989,35-39,Male,16,21026,4,4.630000114,2,1
2021-01-21,709320,Campaign A,104012,35-39,Male,15,1422,0,0,1,1
2021-01-22,709323,Campaign A,104012,35-39,Male,15,7132,2,2.609999895,1,0
2021-01-23,709326,Campaign A,104013,35-39,Male,16,12190,2,3.049999952,1,0
2021-01-24,709327,Campaign A,104013,35-39,Male,16,12193,2,3.059999943,1,1
2021-01-25,709328,Campaign A,104013,35-39,Male,16,3332,0,0,1,1
2021-01-26,709455,Campaign A,104034,35-39,Male,7,559,0,0,1,0
2021-01-27,709544,Campaign A,104049,35-39,Male,29,7440,2,2.980000019,1,1
2021-01-28,709614,Campaign A,104061,40-44,Male,16,19113,4,5.5200001,1,0
2021-01-29,709756,Campaign A,104085,40-44,Male,16,10976,2,1.690000057,1,1
2021-01-30,709761,Campaign A,104085,40-44,Male,16,2861,0,0,1,0
2021-01-31,709899,Campaign A,104108,40-44,Male,15,1398,0,0,1,1
2021-02-01,709901,Campaign A,104109,40-44,Male,16,23817,7,8.470000148,1,1
2021-02-02,710045,Campaign A,104133,45-49,Male,16,47224,12,15.82000017,1,0
2021-02-03,710088,Campaign A,104140,45-49,Male,24,2283,1,1.470000029,1,0
2021-02-04,710360,Campaign A,104185,45-49,Male,21,2182,1,1.529999971,1,1
2021-02-05,710477,Campaign A,104205,30-34,Female,16,2654,0,0,1,1
2021-02-06,710480,Campaign A,104205,30-34,Female,16,57665,14,18.06999969,1,1
2021-02-07,710571,Campaign A,104220,30-34,Female,32,3091,1,1.610000014,1,1
2021-02-08,710617,Campaign A,104228,30-34,Female,15,5014,1,1.190000057,1,0
